Time[s], SCIO
1.061465875, 1
1.0617299375, 0
1.064397125, 1
1.064663125, 0
1.064933625, 1
1.065199625, 0
1.0664930625, 1
1.066759125, 0
1.067029625, 1
1.067295625, 0
1.0685890625, 1
1.0688550625, 0
1.070139625, 1
1.070405625, 0
1.070685, 1
1.0709510625, 0
1.0712215625, 1
1.0714875625, 0
1.072781, 1
1.073047, 0
1.0743315625, 1
1.0745975625, 0
1.0748769375, 1
1.0751429375, 0
1.0754134375, 1
1.0756794375, 0
1.076972875, 1
1.077238875, 0
1.0785234375, 1
1.0787894375, 0
1.0790688125, 1
1.0793348125, 0
1.0806193125, 1
1.0808853125, 0
1.081176625, 1
1.081442625, 0
1.0817130625, 1
1.0819790625, 0
1.0832725, 1
1.0835385, 0
1.0838089375, 1
1.0840749375, 0
1.085368375, 1
1.085634375, 0
1.0859048125, 1
1.086170875, 0
1.08746425, 1
1.08773025, 0
1.0890148125, 1
1.0892808125, 0
1.0895601875, 1
1.0898261875, 0
1.0911106875, 1
1.0913766875, 0
1.091656125, 1
1.091922125, 0
1.093206625, 1
1.093472625, 0
1.093752, 1
1.0940180625, 0
1.0953025625, 1
1.0955685625, 0
1.0958479375, 1
1.0961139375, 0
1.0963844375, 1
1.0966504375, 0
1.09795575, 1
1.09822175, 0
1.0984921875, 1
1.0987581875, 0
1.100051625, 1
1.100317625, 0
1.1005880625, 1
1.1008540625, 0
1.1021475, 1
1.1024135, 0
1.1036979375, 1
1.1039639375, 0
1.1042433125, 1
1.1045093125, 0
1.1057938125, 1
1.106059875, 0
1.10633925, 1
1.10660525, 0
1.10788975, 1
1.10815575, 0
1.108435125, 1
1.108701125, 0
1.109985625, 1
1.110251625, 0
1.1105310625, 1
1.1107970625, 0
1.1110675, 1
1.1113335625, 0
1.1126269375, 1
1.1128929375, 0
1.1131634375, 1
1.1134294375, 0
1.1147346875, 1
1.1150006875, 0
1.1162851875, 1
1.1165511875, 0
1.1168305625, 1
1.1170965625, 0
1.1173670625, 1
1.1176330625, 0
1.1189264375, 1
1.1191924375, 0
1.1194629375, 1
1.1197289375, 0
1.121022375, 1
1.121288375, 0
1.1225728125, 1
1.122838875, 0
1.12311825, 1
1.12338425, 0
1.12365475, 1
1.12392075, 0
1.125214125, 1
1.125480125, 0
1.125750625, 1
1.126016625, 0
1.1273100625, 1
1.1275760625, 0
1.1278465625, 1
1.1281125625, 0
1.1294059375, 1
1.1296719375, 0
1.1309564375, 1
1.1312224375, 0
1.131494875, 1
1.1317579375, 0
1.14197975, 1
1.14224375, 0
1.14491075, 1
1.14517675, 0
1.14544725, 1
1.14571325, 0
1.147006625, 1
1.147272625, 0
1.147543125, 1
1.147809125, 0
1.1491025, 1
1.1493685, 0
1.150653, 1
1.150919, 0
1.151198375, 1
1.151464375, 0
1.151734875, 1
1.152000875, 0
1.1532943125, 1
1.1535603125, 0
1.1548448125, 1
1.1551108125, 0
1.1553901875, 1
1.15565625, 0
1.1559266875, 1
1.1561926875, 0
1.157486125, 1
1.157752125, 0
1.159036625, 1
1.159302625, 0
1.159582, 1
1.159848, 0
1.1611325, 1
1.1613985, 0
1.1616898125, 1
1.1619558125, 0
1.16222625, 1
1.16249225, 0
1.1637856875, 1
1.1640516875, 0
1.1643221875, 1
1.1645881875, 0
1.1658815625, 1
1.1661475625, 0
1.1664180625, 1
1.1666840625, 0
1.1679774375, 1
1.1682434375, 0
1.1695279375, 1
1.1697939375, 0
1.1700733125, 1
1.1703393125, 0
1.17162375, 1
1.17188975, 0
1.1721691875, 1
1.1724351875, 0
1.173719625, 1
1.173985625, 0
1.1742650625, 1
1.1745310625, 0
1.1758155, 1
1.1760815, 0
1.1763609375, 1
1.1766269375, 0
1.176897375, 1
1.177163375, 0
1.1784686875, 1
1.1787346875, 0
1.1790051875, 1
1.1792711875, 0
1.1805645625, 1
1.1808305625, 0
1.1811010625, 1
1.1813670625, 0
1.1826604375, 1
1.1829264375, 0
1.1842109375, 1
1.1844769375, 0
1.1847563125, 1
1.1850223125, 0
1.1863068125, 1
1.1865728125, 0
1.18685225, 1
1.18711825, 0
1.1884026875, 1
1.1886686875, 0
1.188948125, 1
1.189214125, 0
1.190498625, 1
1.190764625, 0
1.191044, 1
1.19131, 0
1.1915805, 1
1.1918465, 0
1.193139875, 1
1.1934059375, 0
1.193676375, 1
1.1939424375, 0
1.1952476875, 1
1.1955136875, 0
1.1967981875, 1
1.1970641875, 0
1.1973435625, 1
1.197609625, 0
1.1978800625, 1
1.1981460625, 0
1.1994395, 1
1.1997055, 0
1.1999759375, 1
1.2002419375, 0
1.201535375, 1
1.201801375, 0
1.203085875, 1
1.203351875, 0
1.20363125, 1
1.20389725, 0
1.20416775, 1
1.20443375, 0
1.205727125, 1
1.205993125, 0
1.206263625, 1
1.206529625, 0
1.2078230625, 1
1.2080890625, 0
1.2083595625, 1
1.2086255625, 0
1.209919, 1
1.210185, 0
1.2114695, 1
1.2117355625, 0
1.212008, 1
1.2122710625, 0
1.222493, 1
1.2227570625, 0
1.2254241875, 1
1.2256901875, 0
1.2259606875, 1
1.2262266875, 0
1.2275200625, 1
1.2277860625, 0
1.2280565625, 1
1.2283225625, 0
1.229616, 1
1.229882, 0
1.2311665625, 1
1.2314325625, 0
1.2317119375, 1
1.2319779375, 0
1.2322484375, 1
1.2325144375, 0
1.233807875, 1
1.234073875, 0
1.2353584375, 1
1.2356244375, 0
1.2359038125, 1
1.236169875, 0
1.2364403125, 1
1.236706375, 0
1.2379998125, 1
1.2382658125, 0
1.2395503125, 1
1.2398163125, 0
1.24009575, 1
1.24036175, 0
1.24164625, 1
1.24191225, 0
1.2422035625, 1
1.2424695625, 0
1.2427400625, 1
1.2430060625, 0
1.2442995, 1
1.2445655, 0
1.244836, 1
1.245102, 0
1.2463954375, 1
1.2466614375, 0
1.2469319375, 1
1.2471979375, 0
1.2484913125, 1
1.248757375, 0
1.2500418125, 1
1.2503078125, 0
1.25058725, 1
1.25085325, 0
1.25213775, 1
1.25240375, 0
1.252683125, 1
1.2529491875, 0
1.254233625, 1
1.2544996875, 0
1.2547790625, 1
1.2550450625, 0
1.2563295625, 1
1.256595625, 0
1.256875, 1
1.257141, 0
1.2574115, 1
1.2576775, 0
1.2589828125, 1
1.259248875, 0
1.2595193125, 1
1.259785375, 0
1.2610788125, 1
1.2613448125, 0
1.2616153125, 1
1.2618813125, 0
1.26317475, 1
1.26344075, 0
1.26472525, 1
1.2649913125, 0
1.2652706875, 1
1.2655366875, 0
1.26682125, 1
1.26708725, 0
1.267366625, 1
1.2676326875, 0
1.2689171875, 1
1.2691831875, 0
1.2694625625, 1
1.2697285625, 0
1.2710130625, 1
1.271279125, 0
1.2715585, 1
1.2718245, 0
1.272095, 1
1.272361, 0
1.2736544375, 1
1.2739204375, 0
1.2741909375, 1
1.2744569375, 0
1.27576225, 1
1.2760283125, 0
1.2773128125, 1
1.2775788125, 0
1.27785825, 1
1.27812425, 0
1.27839475, 1
1.27866075, 0
1.2799541875, 1
1.2802201875, 0
1.2804906875, 1
1.2807566875, 0
1.282050125, 1
1.282316125, 0
1.283600625, 1
1.2838666875, 0
1.2841460625, 1
1.2844120625, 0
1.2846825625, 1
1.2849485625, 0
1.286242, 1
1.286508, 0
1.2867785, 1
1.2870445, 0
1.2883379375, 1
1.2886039375, 0
1.2888744375, 1
1.2891404375, 0
1.2904338125, 1
1.290699875, 0
1.291984375, 1
1.292250375, 0
1.2925228125, 1
1.292785875, 0
1.3030079375, 1
1.3032719375, 0
1.3059390625, 1
1.3062050625, 0
1.3064755625, 1
1.3067415625, 0
1.308035, 1
1.308301, 0
1.3085715, 1
1.3088375, 0
1.310131, 1
1.310397, 0
1.3116815, 1
1.3119475, 0
1.312226875, 1
1.3124929375, 0
1.312763375, 1
1.313029375, 0
1.3143228125, 1
1.3145888125, 0
1.3158733125, 1
1.316139375, 0
1.31641875, 1
1.31668475, 0
1.31695525, 1
1.31722125, 0
1.3185146875, 1
1.3187806875, 0
1.3200651875, 1
1.3203311875, 0
1.320610625, 1
1.320876625, 0
1.322161125, 1
1.3224271875, 0
1.3227184375, 1
1.3229844375, 0
1.3232549375, 1
1.3235209375, 0
1.324814375, 1
1.3250804375, 0
1.325350875, 1
1.3256169375, 0
1.3269103125, 1
1.327176375, 0
1.327446875, 1
1.327712875, 0
1.3290063125, 1
1.3292723125, 0
1.3305568125, 1
1.330822875, 0
1.33110225, 1
1.33136825, 0
1.3326528125, 1
1.3329188125, 0
1.33319825, 1
1.33346425, 0
1.33474875, 1
1.3350148125, 0
1.3352941875, 1
1.3355601875, 0
1.33684475, 1
1.33711075, 0
1.337390125, 1
1.3376561875, 0
1.337926625, 1
1.3381926875, 0
1.339498, 1
1.339764, 0
1.3400345, 1
1.3403005, 0
1.341593875, 1
1.341859875, 0
1.342130375, 1
1.342396375, 0
1.3436898125, 1
1.3439558125, 0
1.3452403125, 1
1.3455063125, 0
1.3457856875, 1
1.3460516875, 0
1.34733625, 1
1.34760225, 0
1.347881625, 1
1.3481476875, 0
1.3494321875, 1
1.3496981875, 0
1.349977625, 1
1.350243625, 0
1.3515281875, 1
1.3517941875, 0
1.352073625, 1
1.352339625, 0
1.352610125, 1
1.352876125, 0
1.3541695625, 1
1.354435625, 0
1.3547060625, 1
1.354972125, 0
1.3562774375, 1
1.3565434375, 0
1.357828, 1
1.358094, 0
1.3583734375, 1
1.3586394375, 0
1.3589099375, 1
1.3591759375, 0
1.360469375, 1
1.360735375, 0
1.361005875, 1
1.3612719375, 0
1.3625653125, 1
1.362831375, 0
1.364115875, 1
1.364381875, 0
1.3646613125, 1
1.3649273125, 0
1.3651978125, 1
1.3654638125, 0
1.3667573125, 1
1.3670233125, 0
1.3672938125, 1
1.3675598125, 0
1.36885325, 1
1.3691193125, 0
1.36938975, 1
1.3696558125, 0
1.37094925, 1
1.37121525, 0
1.3724998125, 1
1.3727658125, 0
1.3730383125, 1
1.3733013125, 0
1.3835234375, 1
1.3837875, 0
1.386454625, 1
1.386720625, 0
1.386991125, 1
1.387257125, 0
1.3885505625, 1
1.3888165625, 0
1.3890870625, 1
1.3893530625, 0
1.3906465, 1
1.3909125, 0
1.392197, 1
1.3924630625, 0
1.3927424375, 1
1.3930084375, 0
1.3932789375, 1
1.393545, 0
1.394838375, 1
1.3951044375, 0
1.3963889375, 1
1.3966549375, 0
1.396934375, 1
1.397200375, 0
1.397470875, 1
1.397736875, 0
1.3990303125, 1
1.3992963125, 0
1.4005808125, 1
1.400846875, 0
1.40112625, 1
1.40139225, 0
1.40267675, 1
1.4029428125, 0
1.4032340625, 1
1.403500125, 0
1.4037705625, 1
1.404036625, 0
1.40533, 1
1.4055960625, 0
1.4058665, 1
1.4061325625, 0
1.4074259375, 1
1.407692, 0
1.4079624375, 1
1.4082285, 0
1.409521875, 1
1.409787875, 0
1.4110724375, 1
1.4113384375, 0
1.4116178125, 1
1.411883875, 0
1.413168375, 1
1.413434375, 0
1.41371375, 1
1.41397975, 0
1.41526425, 1
1.41553025, 0
1.4158096875, 1
1.4160756875, 0
1.4173601875, 1
1.41762625, 0
1.417905625, 1
1.418171625, 0
1.418442125, 1
1.418708125, 0
1.4200134375, 1
1.4202795, 0
1.4205499375, 1
1.420816, 0
1.422109375, 1
1.4223754375, 0
1.422645875, 1
1.4229119375, 0
1.4242053125, 1
1.424471375, 0
1.425755875, 1
1.426021875, 0
1.4263013125, 1
1.4265673125, 0
1.4278518125, 1
1.4281178125, 0
1.42839725, 1
1.42866325, 0
1.42994775, 1
1.4302138125, 0
1.4304931875, 1
1.4307591875, 0
1.4320436875, 1
1.43230975, 0
1.432589125, 1
1.432855125, 0
1.433125625, 1
1.433391625, 0
1.4346850625, 1
1.4349510625, 0
1.4352215625, 1
1.4354875625, 0
1.436792875, 1
1.437058875, 0
1.438343375, 1
1.438609375, 0
1.4388888125, 1
1.4391548125, 0
1.4394253125, 1
1.4396913125, 0
1.44098475, 1
1.44125075, 0
1.44152125, 1
1.44178725, 0
1.443080625, 1
1.4433466875, 0
1.4446311875, 1
1.4448971875, 0
1.445176625, 1
1.445442625, 0
1.445713125, 1
1.445979125, 0
1.4472725625, 1
1.447538625, 0
1.4478090625, 1
1.448075125, 0
1.4493685625, 1
1.4496345625, 0
1.4499050625, 1
1.4501710625, 0
1.4514645, 1
1.4517305, 0
1.4530150625, 1
1.4532810625, 0
1.4535535, 1
1.4538165625, 0
